date,temp,temp_max,temp_min
1/1/2012,8.9,12.8,5
1/2/2012,6.7,10.6,2.8
1/3/2012,9.45,11.7,7.2
1/4/2012,8.9,12.2,5.6
1/5/2012,5.85,8.9,2.8
1/6/2012,3.3,4.4,2.2
1/7/2012,5,7.2,2.8
1/8/2012,6.4,10,2.8
1/9/2012,7.2,9.4,5
1/10/2012,3.35,6.1,0.6
1/11/2012,2.5,6.1,-1.1
1/12/2012,2.2,6.1,-1.7
1/13/2012,1.1,5,-2.8
1/14/2012,2.5,4.4,0.6
1/15/2012,-1.1,1.1,-3.3
1/16/2012,-0.55,1.7,-2.8
1/17/2012,1.65,3.3,0
1/18/2012,-1.4,0,-2.8
1/19/2012,-1.95,-1.1,-2.8
1/20/2012,3.05,7.2,-1.1
1/21/2012,5.8,8.3,3.3
1/22/2012,4.45,6.7,2.2
1/23/2012,4.7,8.3,1.1
1/24/2012,6.1,10,2.2
1/25/2012,6.65,8.9,4.4
1/26/2012,5,8.9,1.1
1/27/2012,2.25,6.7,-2.2
1/28/2012,3.65,6.7,0.6
1/29/2012,6.65,9.4,3.9
1/30/2012,7.2,8.3,6.1
1/31/2012,7.75,9.4,6.1
2/1/2012,6.1,8.9,3.3
2/2/2012,5,8.3,1.7
2/3/2012,8.3,14.4,2.2
2/4/2012,10.3,15.6,5
2/5/2012,7.8,13.9,1.7
2/6/2012,8.9,16.1,1.7
2/7/2012,11.7,15.6,7.8
2/8/2012,7.5,10,5
2/9/2012,9.45,11.1,7.8
2/10/2012,9.75,12.8,6.7
2/11/2012,7.25,8.9,5.6
2/12/2012,6.65,8.3,5
2/13/2012,5.8,7.2,4.4
2/14/2012,3.9,6.7,1.1
2/15/2012,3.9,7.2,0.6
2/16/2012,5.25,7.2,3.3
2/17/2012,7.2,10,4.4
2/18/2012,5.3,6.7,3.9
2/19/2012,4.45,6.7,2.2
2/20/2012,4.75,7.8,1.7
2/21/2012,8.9,10,7.8
2/22/2012,6.4,10,2.8
2/23/2012,5.55,8.3,2.8
2/24/2012,5.55,6.7,4.4
2/25/2012,5,7.2,2.8
2/26/2012,1.95,5,-1.1
2/27/2012,2.25,6.7,-2.2
2/28/2012,3.05,6.7,-0.6
2/29/2012,3.05,5,1.1
3/1/2012,3.6,6.1,1.1
3/2/2012,5.3,6.7,3.9
3/3/2012,9.45,12.2,6.7
3/4/2012,8.65,10.6,6.7
3/5/2012,4.45,7.8,1.1
3/6/2012,3.35,6.7,0
3/7/2012,3.6,8.9,-1.7
3/8/2012,8.1,15.6,0.6
3/9/2012,7.2,9.4,5
3/10/2012,6.65,7.2,6.1
3/11/2012,4.75,6.7,2.8
3/12/2012,4.45,8.3,0.6
3/13/2012,3.1,5.6,0.6
3/14/2012,4.45,7.8,1.1
3/15/2012,8.35,11.1,5.6
3/16/2012,6.4,8.9,3.9
3/17/2012,5.3,10,0.6
3/18/2012,2.2,5,-0.6
3/19/2012,3.05,7.2,-1.1
3/20/2012,5,7.8,2.2
3/21/2012,5,8.9,1.1
3/22/2012,5.85,10,1.7
3/23/2012,6.4,12.2,0.6
3/24/2012,9.15,15,3.3
3/25/2012,7.75,13.3,2.2
3/26/2012,9.45,12.8,6.1
3/27/2012,10.55,14.4,6.7
3/28/2012,8.9,10.6,7.2
3/29/2012,8.05,10,6.1
3/30/2012,7.2,9.4,5
3/31/2012,6.4,10,2.8
4/1/2012,6.65,8.9,4.4
4/2/2012,10.55,16.7,4.4
4/3/2012,7.5,11.7,3.3
4/4/2012,6.7,10.6,2.8
4/5/2012,6.1,9.4,2.8
4/6/2012,7.2,11.1,3.3
4/7/2012,8.9,16.1,1.7
4/8/2012,14.15,21.1,7.2
4/9/2012,13.05,20,6.1
4/10/2012,13.35,17.8,8.9
4/11/2012,9.15,11.1,7.2
4/12/2012,9.75,13.9,5.6
4/13/2012,9.45,15,3.9
4/14/2012,9.45,15.6,3.3
4/15/2012,11.65,16.1,7.2
4/16/2012,10,13.3,6.7
4/17/2012,7.2,10,4.4
4/18/2012,10.25,13.3,7.2
4/19/2012,9.45,13.9,5
4/20/2012,10,13.3,6.7
4/21/2012,12.2,20,4.4
4/22/2012,15.8,23.3,8.3
4/23/2012,15.3,21.7,8.9
4/24/2012,11.95,13.9,10
4/25/2012,12.8,16.7,8.9
4/26/2012,10.3,13.9,6.7
4/27/2012,9.7,13.3,6.1
4/28/2012,12.2,16.1,8.3
4/29/2012,12.25,15.6,8.9
4/30/2012,10,12.8,7.2
5/1/2012,8.9,11.7,6.1
5/2/2012,9.45,13.3,5.6
5/3/2012,9.15,11.1,7.2
5/4/2012,9.15,12.2,6.1
5/5/2012,9.15,13.3,5
5/6/2012,11.4,17.8,5
5/7/2012,15,23.9,6.1
5/8/2012,13.85,18.3,9.4
5/9/2012,10,13.3,6.7
5/10/2012,9.15,14.4,3.9
5/11/2012,11.35,18.3,4.4
5/12/2012,15.55,24.4,6.7
5/13/2012,17.5,25.6,9.4
5/14/2012,19.75,26.7,12.8
5/15/2012,16.9,24.4,9.4
5/16/2012,14.4,19.4,9.4
5/17/2012,12.25,17.8,6.7
5/18/2012,11.7,15.6,7.8
5/19/2012,13.3,19.4,7.2
5/20/2012,13.05,14.4,11.7
5/21/2012,13.35,16.7,10
5/22/2012,10.85,12.8,8.9
5/23/2012,11.65,14.4,8.9
5/24/2012,13.05,17.2,8.9
5/25/2012,15.55,22.2,8.9
5/26/2012,15.55,22.2,8.9
5/27/2012,14.45,17.2,11.7
5/28/2012,13.35,16.7,10
5/29/2012,11.95,16.1,7.8
5/30/2012,15,18.9,11.1
5/31/2012,15,17.8,12.2
6/1/2012,16.4,20,12.8
6/2/2012,14.75,18.9,10.6
6/3/2012,13.3,17.2,9.4
6/4/2012,10.85,12.8,8.9
6/5/2012,10.8,13.3,8.3
6/6/2012,11.1,16.1,6.1
6/7/2012,12.5,16.1,8.9
6/8/2012,11.65,15,8.3
6/9/2012,12.75,17.2,8.3
6/10/2012,14.45,18.9,10
6/11/2012,16.65,23.3,10
6/12/2012,15.55,18.3,12.8
6/13/2012,13.6,16.1,11.1
6/14/2012,13.6,17.2,10
6/15/2012,15.8,22.2,9.4
6/16/2012,18.05,21.1,15
6/17/2012,15.3,18.9,11.7
6/18/2012,13.6,17.2,10
6/19/2012,14.7,19.4,10
6/20/2012,17.2,24.4,10
6/21/2012,17.8,23.9,11.7
6/22/2012,12.8,13.9,11.7
6/23/2012,12.5,15.6,9.4
6/24/2012,14.4,19.4,9.4
6/25/2012,15.25,19.4,11.1
6/26/2012,14.45,18.3,10.6
6/27/2012,15.85,22.8,8.9
6/28/2012,16.95,22.2,11.7
6/29/2012,18.35,21.7,15
6/30/2012,16.65,20,13.3
7/1/2012,16.1,20,12.2
7/2/2012,15.3,18.9,11.7
7/3/2012,14.45,18.3,10.6
7/4/2012,15,20.6,9.4
7/5/2012,17.5,24.4,10.6
7/6/2012,18.05,25,11.1
7/7/2012,19.75,26.7,12.8
7/8/2012,21.35,28.3,14.4
7/9/2012,18.9,25,12.8
7/10/2012,17.5,23.9,11.1
7/11/2012,20.55,27.8,13.3
7/12/2012,19.45,25.6,13.3
7/13/2012,18.6,23.3,13.9
7/14/2012,20,25,15
7/15/2012,16.1,18.9,13.3
7/16/2012,19.7,26.1,13.3
7/17/2012,18.35,21.7,15
7/18/2012,17.75,21.1,14.4
7/19/2012,19.7,25,14.4
7/20/2012,16.65,19.4,13.9
7/21/2012,18.9,23.9,13.9
7/22/2012,16.4,20.6,12.2
7/23/2012,15,18.9,11.1
7/24/2012,17.75,23.3,12.2
7/25/2012,19.75,26.7,12.8
7/26/2012,19.2,25.6,12.8
7/27/2012,16.4,18.9,13.9
7/28/2012,17.75,22.2,13.3
7/29/2012,18.9,22.8,15
7/30/2012,16.35,19.4,13.3
7/31/2012,18.35,22.8,13.9
8/1/2012,18.6,23.9,13.3
8/2/2012,17.75,23.3,12.2
8/3/2012,20,27.2,12.8
8/4/2012,25.3,33.9,16.7
8/5/2012,25.85,33.9,17.8
8/6/2012,21.95,28.3,15.6
8/7/2012,18.05,21.1,15
8/8/2012,18.6,22.2,15
8/9/2012,19.4,24.4,14.4
8/10/2012,18.9,25.6,12.2
8/11/2012,20.8,28.3,13.3
8/12/2012,22.8,30.6,15
8/13/2012,22.8,30.6,15
8/14/2012,21.4,28.9,13.9
8/15/2012,23.9,31.1,16.7
8/16/2012,26.35,34.4,18.3
8/17/2012,24.45,32.8,16.1
8/18/2012,18.05,21.7,14.4
8/19/2012,19.15,23.3,15
8/20/2012,20.3,25.6,15
8/21/2012,18.3,23.3,13.3
8/22/2012,17.75,22.2,13.3
8/23/2012,17.5,21.1,13.9
8/24/2012,16.1,22.2,10
8/25/2012,18.9,26.1,11.7
8/26/2012,16.65,21.1,12.2
8/27/2012,18.6,23.9,13.3
8/28/2012,17.5,22.8,12.2
8/29/2012,18.05,22.8,13.3
8/30/2012,17.8,22.8,12.8
8/31/2012,16.4,22.2,10.6
9/1/2012,16.15,21.7,10.6
9/2/2012,15.55,21.1,10
9/3/2012,17.8,22.8,12.8
9/4/2012,17.75,24.4,11.1
9/5/2012,18.9,26.1,11.7
9/6/2012,21.35,28.3,14.4
9/7/2012,22.75,32.2,13.3
9/8/2012,19.15,25,13.3
9/9/2012,16.4,18.9,13.9
9/10/2012,15.85,20,11.7
9/11/2012,14.45,20,8.9
9/12/2012,16.1,22.2,10
9/13/2012,19.75,27.8,11.7
9/14/2012,18.6,26.1,11.1
9/15/2012,16.65,22.2,11.1
9/16/2012,16.9,24.4,9.4
9/17/2012,19.75,27.8,11.7
9/18/2012,19.75,27.8,11.7
9/19/2012,17.8,23.9,11.7
9/20/2012,14.7,19.4,10
9/21/2012,14.45,16.1,12.8
9/22/2012,15.55,19.4,11.7
9/23/2012,14.7,19.4,10
9/24/2012,15.55,21.1,10
9/25/2012,15.25,19.4,11.1
9/26/2012,14.4,19.4,9.4
9/27/2012,16.4,22.8,10
9/28/2012,18.6,25,12.2
9/29/2012,16.4,20.6,12.2
9/30/2012,14.45,21.1,7.8
10/1/2012,16.1,23.3,8.9
10/2/2012,13.9,17.8,10
10/3/2012,13.35,18.9,7.8
10/4/2012,13.6,18.9,8.3
10/5/2012,15.3,21.7,8.9
10/6/2012,15.85,23.9,7.8
10/7/2012,15.85,23.9,7.8
10/8/2012,14.45,21.1,7.8
10/9/2012,12.5,16.1,8.9
